country_name,country,year,region,wb_inc,ndp_usd,ETR_L,ETR_K,Tau_L,Tau_K,Lsh_ndp,Ksh_ndp,pct_tax,pct_1000,pct_1100,pct_1200,pct_2000,pct_4000,pct_5000,pct_6000,source_tax,source_sna
Afghanistan,AFG,2003,Asia,Developing countries,6707494400,.0015976389,.0044708317,.001181283,.0011651302,.739393,.26060703,.026725417,.0017651444,.0010228697,.00074227463,.00034774965,7.6964511e-08,.023607934,.0010045096,ICTD,composite
Afghanistan,AFG,2004,Asia,Developing countries,6758304768,.0037352839,.014047725,.0027671747,.0036408834,.74082047,.25917956,.043638416,.0044069835,.0016104428,.0027965412,.0013653394,5.1830722e-09,.035914354,.0019517321,ICTD,composite
Afghanistan,AFG,2005,Asia,Developing countries,7514748416,.0032722091,.0084671685,.0024149788,.0022181699,.73802704,.26197302,.049993888,.0034362276,.0021046884,.0013315391,.00070078851,.000033948309,.044945668,.00087725383,ICTD,composite
Afghanistan,AFG,2006,Asia,Developing countries,7881767424,.0078280205,.038256075,.0057715797,.010049967,.73729748,.26270252,.076088719,.013105917,.0058333473,.0072725699,.001111646,.000023384518,.054488294,.0073594791,ICTD,composite
Afghanistan,AFG,2007,Asia,Developing countries,8977537024,.0074377512,.039575491,.0054507628,.010572555,.73285091,.26714906,.064268947,.013332418,.0055707432,.0077616735,.0010020431,.000074405667,.049562789,.00029728707,ICTD,composite
Afghanistan,AFG,2008,Asia,Developing countries,9265796096,.0077956342,.048253711,.0057113129,.012901613,.73262966,.26737037,.063713089,.014896905,.0050864266,.0098104794,.0015729261,.00025978015,.046531323,.00045215667,ICTD,composite
Afghanistan,AFG,2009,Asia,Developing countries,11305225216,.010059414,.077844568,.0072917319,.021417648,.72486651,.27513349,.088974155,.023660403,.0068762843,.016784118,.0017282877,.00036756997,.062258963,.00095893623,ICTD,composite
Afghanistan,AFG,2010,Asia,Developing countries,12943414272,.013137992,.084826685,.0094523951,.023796411,.71947026,.28052977,.10044637,.025181536,.0085451724,.016636364,.0024945615,.0021388801,.069441959,.0011894321,ICTD,composite
Afghanistan,AFG,2011,Asia,Developing countries,12899911680,.016240316,.078563847,.011714251,.021895206,.72130686,.27869314,.098326989,.024763159,.0099406242,.014822536,.003545983,.0018291774,.066759147,.0014295276,ICTD,composite
Afghanistan,AFG,2012,Asia,Developing countries,14590304256,.016249992,.077921219,.011647979,.022067366,.71679902,.28320098,.083856583,.024716763,.010255728,.014461034,.0032605396,.0022402147,.052886128,.00075292814,ICTD,composite
Afghanistan,AFG,2013,Asia,Developing countries,15398498304,.025129322,.12157341,.017986204,.034557767,.71574569,.28425431,.097357154,.042533211,.018218953,.024314258,.003367618,.0011938947,.046183281,.0040791575,ICTD,composite
Afghanistan,AFG,2014,Asia,Developing countries,15797505024,.021854566,.083019026,.015655169,.023549682,.71633399,.28366607,.077317148,.030285845,.014992042,.015293801,.0035326127,.0013091168,.039488468,.0027010974,ICTD,composite
Afghanistan,AFG,2015,Asia,Developing countries,16007313408,.025703359,.091992393,.018422529,.026058113,.71673626,.28326377,.085361496,.035125788,.018693017,.01643277,.0034408909,.0013348589,.042359821,.0031001393,ICTD,composite
Afghanistan,AFG,2016,Asia,Developing countries,16370449408,.019954765,.051670641,.014307454,.014623083,.71699435,.28300565,.106633,.022308931,.013145063,.0091638695,.003633884,.000011194062,.075514808,.0051641795,ICTD,composite
Afghanistan,AFG,2017,Asia,Developing countries,16818574336,.018644802,.058084562,.013363857,.016451847,.71676046,.28323957,.11034641,.023615303,.012657871,.01095743,.0031322269,9.1090587e-06,.083506607,.000083170722,ICTD,composite
Afghanistan,AFG,2018,Asia,Developing countries,16982867968,.027888587,.097450621,.020012874,.027519969,.71760088,.28239912,.10256135,.039506134,.021175405,.018330729,.003133893,9.1139036e-06,.057545092,.0023671095,ICTD,composite
Albania,ALB,1994,Asia,Upper middle income,4318063104,.041378237,.10981273,.033748865,.020247413,.81561875,.18438129,.18678173,.021500204,.0029653665,.018534837,.03315394,.001724171,.10757374,.022829687,ICTD,composite
Albania,ALB,1995,Asia,Upper middle income,4949600768,.048727624,.085437998,.039426114,.016309071,.80911219,.19088779,.17031917,.017083423,.002717037,.014366386,.039682481,.0020817739,.095383883,.016087607,ICTD,composite
Albania,ALB,1996,Asia,Upper middle income,5425299456,.052638002,.077550419,.042358115,.015145138,.80470598,.19529408,.14653628,.016357362,.0021766534,.014180709,.043355383,.0012848063,.07425566,.011283061,ICTD,composite
Albania,ALB,1997,Asia,Upper middle income,4707367424,.056157328,.057817962,.045448516,.011025486,.80930692,.19069308,.16280691,.012716646,.0028817791,.0098348679,.046529759,.0011228092,.094819024,.007618669,ICTD,composite
Albania,ALB,1998,Asia,Upper middle income,5143147520,.058320239,.084873423,.046967864,.016521111,.80534416,.19465588,.21907589,.019430235,.003542983,.015887253,.048053395,.00092293601,.14055346,.010115866,ICTD,composite
Albania,ALB,1999,Asia,Upper middle income,5852853248,.062407143,.10964935,.049956758,.021875331,.80049741,.1995026,.21825308,.026993567,.0081260279,.018867537,.047441885,.0023123904,.12595342,.015551807,ICTD,composite
Albania,ALB,2000,Asia,Upper middle income,6251276800,.06324929,.13046564,.050433721,.026434945,.79738003,.20261998,.24105497,.033220373,.010628852,.02259152,.046435814,.0030450854,.1408103,.017543396,ICTD,composite
Albania,ALB,2001,Asia,Upper middle income,6775800832,.065112107,.14618,.051674914,.030167179,.79362988,.20637009,.23906912,.038116559,.012964816,.025151741,.046315257,.0041898987,.1306483,.019799123,ICTD,composite
